TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612738,Boston Celtics,24,14,10,0.583,1152.0,881,1962,0.449,328,879,0.373,443,556,0.797,216,814,1030,588,353.0,154,150,113,497,521,2533,86.0,1,2,16,3,1,2,1,7,1,1,5,1,1,6,1,1,1,2,16,2,1,16,16,1,1,2,2021-22
1610612751,Brooklyn Nets,4,0,4,0.0,192.0,157,312,0.503,46,109,0.422,76,103,0.738,34,102,136,89,61.0,32,26,16,99,98,436,-18.0,16,16,1,16,16,16,16,1,16,16,1,15,15,14,16,16,16,16,2,14,11,3,2,15,16,10,2021-22
1610612741,Chicago Bulls,5,1,4,0.2,240.0,182,451,0.404,52,184,0.283,60,72,0.833,41,179,220,115,65.0,39,16,24,93,89,476,-73.0,13,13,1,13,13,14,13,16,14,11,15,16,16,2,15,12,13,13,3,11,15,4,1,16,15,16,2021-22
1610612742,Dallas Mavericks,18,9,9,0.5,864.0,653,1455,0.449,284,747,0.38,324,420,0.771,117,540,657,345,184.0,129,50,64,380,397,1914,13.0,3,4,15,6,3,4,4,8,3,3,3,3,3,12,6,4,4,4,13,4,7,11,13,3,3,6,2021-22
1610612743,Denver Nuggets,5,1,4,0.2,240.0,197,414,0.476,56,157,0.357,100,126,0.794,56,153,209,125,82.0,35,17,31,125,116,550,-40.0,13,13,1,13,13,13,14,4,12,15,9,12,12,7,11,15,14,11,5,13,14,7,4,14,13,13,2021-22
1610612744,Golden State Warriors,22,16,6,0.727,1056.0,910,1895,0.48,308,821,0.375,333,435,0.766,216,750,966,594,320.0,170,109,107,474,424,2461,111.0,2,1,10,1,2,1,2,3,2,2,4,2,2,13,1,2,2,1,15,1,2,15,15,2,2,1,2021-22
1610612763,Memphis Grizzlies,12,6,6,0.5,576.0,477,1096,0.435,157,430,0.365,239,325,0.735,149,401,550,302,168.0,110,73,81,249,285,1350,29.0,6,7,10,6,7,6,5,15,5,5,7,5,5,15,4,6,6,6,10,5,3,13,11,5,6,4,2021-22
1610612748,Miami Heat,18,11,7,0.611,864.0,684,1536,0.445,196,626,0.313,312,388,0.804,177,562,739,394,233.0,150,66,83,386,386,1876,69.0,3,3,14,2,3,3,3,10,4,4,13,4,4,5,3,3,3,3,14,3,4,14,14,4,4,3,2021-22
1610612749,Milwaukee Bucks,12,7,5,0.583,576.0,462,1056,0.438,127,388,0.327,182,249,0.731,117,488,605,250,165.0,76,54,66,229,241,1233,18.0,6,5,9,3,7,7,7,14,8,7,11,8,7,16,6,5,5,8,9,7,5,12,9,8,8,5,2021-22
1610612750,Minnesota Timberwolves,6,2,4,0.333,288.0,218,492,0.443,83,214,0.388,136,168,0.81,42,198,240,137,106.0,49,47,37,161,139,655,-33.0,9,9,1,9,10,11,11,11,9,9,2,9,10,4,14,10,11,9,8,9,9,8,8,9,10,11,2021-22
1610612740,New Orleans Pelicans,6,2,4,0.333,288.0,234,506,0.462,56,158,0.354,135,173,0.78,91,183,274,128,87.0,38,21,24,127,136,659,-9.0,9,9,1,9,10,9,10,6,12,14,10,10,9,11,9,11,9,10,7,12,13,4,5,11,9,8,2021-22
1610612755,Philadelphia 76ers,12,6,6,0.5,581.0,437,939,0.465,149,400,0.373,231,272,0.849,92,376,468,261,177.0,73,52,50,247,246,1254,4.0,6,7,10,6,6,8,8,5,6,6,6,6,6,1,8,8,8,7,12,8,6,10,10,7,7,7,2021-22
1610612756,Phoenix Suns,13,7,6,0.538,624.0,535,1076,0.497,128,353,0.363,201,246,0.817,123,399,522,334,173.0,86,49,39,292,276,1399,-13.0,5,5,10,5,5,5,6,2,7,8,8,7,8,3,5,7,7,5,11,6,8,9,12,6,5,9,2021-22
1610612761,Toronto Raptors,6,2,4,0.333,293.0,230,516,0.446,59,197,0.299,100,126,0.794,60,165,225,124,60.0,40,29,29,133,122,619,-50.0,9,9,1,9,9,10,9,9,10,10,14,12,12,7,10,13,12,12,1,10,10,6,7,12,11,14,2021-22
1610612762,Utah Jazz,6,2,4,0.333,288.0,210,474,0.443,49,179,0.274,125,159,0.786,56,213,269,103,70.0,24,22,14,132,139,594,-34.0,9,9,1,9,10,12,12,12,15,12,16,11,11,9,11,9,10,14,4,16,12,1,6,9,12,12,2021-22
1610612737,Atlanta Hawks,6,2,4,0.333,288.0,264,578,0.457,84,224,0.375,83,102,0.814,73,190,263,147,77.0,46,29,43,98,99,695,-32.0,10,10,1,10,11,10,10,9,10,11,3,13,14,4,11,11,11,10,5,10,10,8,3,14,10,12,2022-23
1610612738,Boston Celtics,20,11,9,0.55,965.0,817,1710,0.478,281,773,0.364,324,400,0.81,189,672,861,483,248.0,120,127,93,343,354,2239,67.0,2,3,15,4,2,3,3,3,2,2,5,3,3,6,3,3,3,3,15,3,1,14,14,3,3,2,2022-23
1610612751,Brooklyn Nets,4,0,4,0.0,192.0,136,309,0.44,45,138,0.326,53,73,0.726,23,117,140,89,49.0,21,15,16,62,75,370,-45.0,16,16,1,16,16,16,16,12,16,16,13,16,16,15,16,16,16,16,1,16,16,1,1,16,16,15,2022-23
1610612739,Cleveland Cavaliers,5,1,4,0.2,240.0,176,392,0.449,50,153,0.327,69,93,0.742,46,140,186,110,79.0,34,20,23,102,87,471,-27.0,12,12,1,12,14,15,15,10,15,15,12,15,15,14,14,15,15,14,7,12,14,4,4,15,15,11,2022-23
1610612743,Denver Nuggets,20,16,4,0.8,965.0,845,1719,0.492,225,600,0.375,354,442,0.801,201,694,895,515,232.0,137,84,93,385,420,2269,166.0,2,1,1,1,2,2,2,2,3,3,3,2,2,8,2,2,2,2,14,2,3,14,15,2,2,1,2022-23
1610612744,Golden State Warriors,13,6,7,0.462,624.0,545,1217,0.448,188,553,0.34,192,256,0.75,163,449,612,366,187.0,94,60,60,298,255,1470,-2.0,5,6,13,8,5,5,5,11,4,4,10,7,7,12,4,5,5,5,12,5,6,11,13,5,5,6,2022-23
1610612746,LA Clippers,5,1,4,0.2,240.0,204,443,0.46,61,169,0.361,109,132,0.826,59,141,200,108,70.0,33,21,31,115,106,578,-32.0,12,12,1,12,14,13,13,6,13,13,7,10,10,3,12,14,13,15,3,13,12,5,6,11,13,12,2022-23
1610612747,Los Angeles Lakers,16,8,8,0.5,773.0,657,1394,0.471,162,484,0.335,321,397,0.809,145,569,714,399,191.0,109,102,61,279,340,1797,38.0,4,4,14,7,4,4,4,5,5,5,11,4,4,7,5,4,4,4,13,4,2,13,12,4,4,3,2022-23
1610612763,Memphis Grizzlies,6,2,4,0.333,293.0,230,572,0.402,72,231,0.312,96,115,0.835,79,200,279,140,78.0,40,21,55,123,105,628,-45.0,10,10,1,10,10,11,11,16,12,10,14,11,12,2,10,10,10,11,6,11,12,10,7,12,11,15,2022-23
1610612748,Miami Heat,23,13,10,0.565,1109.0,914,1997,0.458,294,774,0.38,370,455,0.813,212,714,926,542,269.0,161,82,108,462,429,2492,35.0,1,2,16,3,1,1,1,7,1,1,1,1,1,5,1,1,1,1,16,1,4,16,16,1,1,4,2022-23
1610612749,Milwaukee Bucks,5,1,4,0.2,245.0,220,463,0.475,78,206,0.379,76,107,0.71,51,171,222,134,72.0,33,18,17,94,102,594,-26.0,12,12,1,12,12,12,12,4,11,12,2,14,13,16,13,12,12,12,4,13,15,2,2,13,12,10,2022-23
1610612750,Minnesota Timberwolves,5,1,4,0.2,245.0,189,413,0.458,56,161,0.348,93,121,0.769,42,154,196,113,64.0,33,24,17,108,115,527,-44.0,12,12,1,12,12,14,14,8,14,14,9,12,11,10,15,13,14,13,2,13,11,2,5,10,14,14,2022-23
1610612752,New York Knicks,11,6,5,0.545,528.0,388,896,0.433,105,360,0.292,220,295,0.746,142,357,499,206,161.0,77,49,42,214,238,1101,4.0,6,6,11,5,7,8,8,14,7,7,16,5,5,13,6,7,6,8,11,7,8,7,10,6,8,5,2022-23
1610612755,Philadelphia 76ers,11,7,4,0.636,533.0,404,924,0.437,134,373,0.359,186,210,0.886,110,363,473,210,136.0,84,58,60,206,176,1128,-17.0,6,5,1,2,6,7,7,13,6,6,8,8,8,1,7,6,7,7,10,6,7,11,9,8,7,8,2022-23
1610612756,Phoenix Suns,11,6,5,0.545,528.0,474,955,0.496,103,284,0.363,205,257,0.798,101,339,440,270,133.0,69,62,44,242,229,1256,-25.0,6,6,11,5,7,6,6,1,8,8,6,6,6,9,8,8,8,6,9,8,5,9,11,7,6,9,2022-23
1610612758,Sacramento Kings,7,3,4,0.429,336.0,287,669,0.429,85,278,0.306,137,180,0.761,98,236,334,154,99.0,54,30,39,158,159,796,-15.0,9,9,1,9,9,9,9,15,9,9,15,9,9,11,9,9,9,9,8,9,9,6,8,9,9,7,2022-23
1610612738,Boston Celtics,19,16,3,0.842,917.0,747,1593,0.469,275,764,0.36,298,367,0.812,184,634,818,452,218.0,119,102,42,298,342,2067,153.0,2,1,1,1,2,3,2,4,1,1,6,2,3,7,2,2,2,3,15,2,2,7,13,2,2,1,2023-24
