PTS_DIFF,FG_PCT_DIFF,FG3_PCT_DIFF,REB_DIFF,AST_DIFF,PLUS_MINUS_DIFF,A_HOME,A_WIN
-10,-0.010000000000000009,-0.08900000000000002,6,0,-20.0,0,0
1,0.07200000000000001,0.064,-9,-7,2.0,1,1
-24,-0.034999999999999976,0.046999999999999986,-7,-4,-48.0,1,0
-3,-0.03200000000000003,0.094,9,-4,-6.0,0,0
-1,0.06600000000000006,0.09400000000000003,-14,-4,-2.0,0,0
7,0.059,-0.121,0,11,14.0,1,1
-6,0.006000000000000005,0.10599999999999998,-1,-1,-12.0,1,0
-4,0.03400000000000003,-0.029000000000000026,-7,2,-8.0,1,0
-7,-0.08200000000000002,-0.07400000000000001,-5,-2,-14.0,0,0
-4,-0.030999999999999972,-0.09099999999999997,1,2,-8.0,1,0
-30,-0.07999999999999996,-0.10099999999999998,-12,-5,-60.0,1,0
-24,-0.134,-0.265,-7,6,-48.0,1,0
16,0.07,0.10100000000000003,14,-1,32.0,1,1
-20,-0.02400000000000002,-0.09999999999999998,-4,-2,-40.0,0,0
-15,-0.09500000000000003,-0.12300000000000005,-6,-4,-30.0,0,0
3,0.07200000000000001,0.04799999999999999,14,-5,6.0,0,1
8,-0.0050000000000000044,-0.184,5,-5,16.0,1,1
-15,-0.129,0.01200000000000001,-3,-3,-30.0,1,0
35,0.18699999999999994,0.2,10,17,70.0,0,1
11,0.15900000000000003,-0.03400000000000003,-20,5,22.0,1,1
11,0.04800000000000004,0.19599999999999995,10,6,22.0,0,1
-3,-0.025000000000000022,0.18999999999999997,10,-9,-6.0,1,0
-15,0.03500000000000003,0.009000000000000008,-9,13,-30.0,0,0
-15,-0.09999999999999998,-0.16999999999999998,7,-14,-30.0,0,0
-6,-0.09399999999999997,-0.067,4,2,-12.0,1,0
13,0.046999999999999986,0.131,11,7,26.0,0,1
28,0.08299999999999996,0.03500000000000003,8,13,56.0,1,1
-9,-0.033999999999999975,-0.034999999999999976,-7,-1,-18.0,1,0
-1,0.015000000000000013,-0.031000000000000028,5,8,-2.0,0,0
2,-0.031000000000000028,-0.174,11,1,4.0,1,1
8,0.013000000000000012,0.08199999999999996,18,2,16.0,0,1
16,0.062,0.14300000000000002,6,7,32.0,1,1
-20,-0.12300000000000005,-0.064,12,-7,-40.0,0,0
-5,-0.05400000000000005,-0.027000000000000024,14,-4,-10.0,1,0
-5,-0.062000000000000055,-0.131,3,-2,-10.0,0,0
-4,-0.007000000000000006,-0.212,13,-2,-8.0,0,0
6,0.05199999999999999,0.03699999999999998,19,-2,12.0,0,1
6,0.006999999999999951,0.08900000000000002,-19,3,12.0,1,1
-8,0.07099999999999995,-0.10799999999999998,0,-4,-16.0,1,0
-1,0.023999999999999966,0.05500000000000005,-3,-2,-2.0,0,0
25,0.057999999999999996,0.17900000000000002,9,4,50.0,1,1
